Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
468;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;1955;26000;50830000;500;ACOMPTE 50%;03/10/2020;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
469;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 2 VOIES;1949;50000;97450000;500;ACOMPTE 50%;11/05/2022;30/12/2022;OUI;NON DEFINI;OUI;OUI
470;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;778;37000;28786000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;OUI;OUI;OUI
471;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;436;37000;16132000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
472;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;400;26000;10400000;250;ACOMPTE 30%;02/06/2020;09/02/2023;NON DEFINI;NON DEFINI;OUI;OUI
473;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;400;26000;10400000;250;ACOMPTE 30%;29/05/2020;31/07/2022;OUI;OUI;OUI;OUI
474;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;400;37000;14800000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
475;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;400;37000;14800000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
476;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;400;26000;10400000;250;ACOMPTE 30%;03/06/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
477;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;400;26000;10400000;250;ACOMPTE 30%;02/06/2020;31/07/2022;NON;NON;OUI;OUI
478;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;305;37000;11285000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
479;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;311;28000;8708000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;NON;OUI;OUI
480;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;09/11/2020;31/07/2022;OUI;OUI;OUI;OUI
481;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;OUI;OUI;OUI
482;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
483;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;311;28000;8708000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON;OUI;OUI
484;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;287;28000;8036000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON;OUI;OUI
485;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;295;26000;7670000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON;OUI;OUI
486;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;298;26000;7748000;250;ACOMPTE 30%;03/06/2020;31/07/2022;OUI;OUI;OUI;OUI
487;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;298;26000;7748000;250;ACOMPTE 30%;09/11/2020;31/07/2022;NON;NON;OUI;OUI
488;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMUNAUTAIRE;2699;3000;8097000;100;ACOMPTE 50%;10/06/2021;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
489;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;313;28000;8764000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON DEFINI;OUI;OUI
490;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;313;28000;8764000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON DEFINI;OUI;OUI
491;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON DEFINI;OUI;OUI
492;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON DEFINI;OUI;OUI
493;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON DEFINI;OUI;OUI
494;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;310;37000;11470000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;OUI;OUI;OUI
495;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;509;37000;18833000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;OUI;OUI;OUI
496;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;11/05/2021;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
497;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;11/05/2021;04/10/2022;OUI;NON DEFINI;OUI;OUI
498;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON;OUI;OUI
499;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMUNAUTAIRE;1550;12000;18600000;100;ACOMPTE 50%;12/08/2021;31/07/2022;NON;NON;OUI;OUI
500;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;723;50000;36150000;500;ACOMPTE 50%;12/08/2021;30/12/2022;OUI;NON DEFINI;OUI;OUI
501;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;21/10/2022;15/12/2022;NON;OUI;OUI;OUI
502;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
503;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
504;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
505;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;OUI;OUI;OUI
506;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
507;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;OUI;OUI;OUI
508;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;30/04/2020;31/07/2022;NON;NON;OUI;OUI
509;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;425;47000;19975000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
510;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
511;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;17/07/2019;30/12/2022;NON;NON;OUI;OUI
512;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;30/04/2020;31/07/2022;NON;NON;OUI;OUI
513;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;425;47000;19975000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
514;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;424;47000;19928000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
515;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;463;45000;20835000;500;COMPTANT;06/11/2018;31/07/2022;NON;NON;OUI;OUI
516;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;463;45000;20835000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
517;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;463;45000;20835000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
518;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;463;45000;20835000;500;ACOMPTE 50%;09/09/2019;30/12/2022;OUI;NON;OUI;OUI
519;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;463;45000;20835000;500;ACOMPTE 50%;22/11/2018;30/12/2022;NON;NON;OUI;OUI
520;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;463;45000;20835000;500;ACOMPTE 50%;22/11/2018;30/12/2022;NON;NON;OUI;OUI
521;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;462;45000;20790000;500;ACOMPTE 50%;21/10/2022;15/12/2022;NON;NON;OUI;OUI
522;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;462;45000;20790000;500;ACOMPTE 50%;21/10/2022;30/09/2023;NON;NON;OUI;OUI
523;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;460;45000;20700000;500;COMPTANT;26/12/2018;31/07/2022;NON;NON;OUI;OUI
524;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;425;47000;19975000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
525;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;COMPTANT;26/12/2018;31/07/2022;NON;NON;OUI;OUI
526;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;21/10/2022;15/12/2022;NON;NON;OUI;OUI
527;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;15/11/2018;31/07/2022;NON;NON;OUI;OUI
528;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;15/11/2018;31/07/2022;NON;NON;OUI;OUI
529;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;22/11/2018;31/07/2022;NON;NON;OUI;OUI
530;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;730;47000;34310000;500;COMPTANT;11/10/2018;31/07/2022;NON;NON;OUI;OUI
531;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;06/11/2018;31/07/2022;NON;NON;OUI;OUI
532;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;06/11/2018;31/07/2022;OUI;NON;OUI;OUI
533;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;09/09/2019;25/05/2023;NON;NON;OUI;OUI
534;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;800;45000;36000000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
535;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;570;26000;14820000;250;ACOMPTE 30%;11/05/2021;31/07/2022;NON;NON;OUI;OUI
536;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;16000;4800000;250;ACOMPTE 30%;15/11/2019;30/12/2022;NON;NON;OUI;OUI
537;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMUNAUTAIRE;2286;12000;27432000;100;ACOMPTE 50%;10/06/2021;28/09/2022;NON;OUI;OUI;OUI
538;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;270;28000;7560000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;OUI;OUI;OUI
539;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;270;28000;7560000;250;ACOMPTE 30%;22/10/2020;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
540;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;280;26000;7280000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
541;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;280;26000;7280000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;NON;OUI;OUI
542;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;280;26000;7280000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
543;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;270;28000;7560000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;NON;OUI;OUI
544;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;270;28000;7560000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;NON;OUI;OUI
545;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;280;26000;7280000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON;OUI;OUI;OUI
546;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;280;26000;7280000;250;ACOMPTE 30%;22/10/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
547;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;280;26000;7280000;250;ACOMPTE 30%;29/04/2022;31/07/2022;NON;OUI;OUI;OUI
548;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;COMPTANT;26/12/2018;31/07/2022;NON;NON;OUI;OUI
549;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;308;28000;8624000;250;COMPTANT;14/12/2018;31/07/2022;NON;NON;OUI;OUI
550;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;308;28000;8624000;250;COMPTANT;26/12/2018;31/07/2022;NON;NON;OUI;OUI
551;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMUNAUTAIRE;1550;12000;18600000;100;ACOMPTE 30%;14/12/2018;31/07/2022;OUI;OUI;OUI;OUI
552;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;COMPTANT;02/10/2018;31/07/2022;NON;OUI;OUI;OUI
553;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
554;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
555;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
556;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
557;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;286;37000;10582000;250;COMPTANT;28/12/2018;31/07/2022;NON;NON;OUI;OUI
558;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;291;37000;10767000;250;COMPTANT;27/12/2018;31/07/2022;NON;NON;OUI;OUI
559;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;16000;4800000;250;COMPTANT;20/12/2018;30/12/2022;NON;NON;OUI;OUI
560;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;420;37000;15540000;500;COMPTANT;02/10/2018;31/07/2022;NON;OUI;OUI;OUI
561;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;420;37000;15540000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
562;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;420;37000;15540000;500;ACOMPTE 50%;17/07/2019;27/10/2022;NON;OUI;OUI;OUI
563;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;404;47000;18988000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
564;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;COMPTANT;02/10/2018;31/07/2022;NON;OUI;OUI;OUI
565;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;479;47000;22513000;500;ACOMPTE 50%;06/11/2018;31/07/2022;NON;NON;OUI;OUI
566;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;06/11/2018;31/07/2022;NON;NON;OUI;OUI
567;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;06/11/2018;30/12/2022;NON;NON;OUI;OUI
568;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;21/10/2022;29/12/2022;OUI;NON;OUI;OUI
569;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;COMPTANT;19/12/2018;30/12/2022;OUI;NON;OUI;OUI
570;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;463;47000;21761000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
571;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
572;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;462;47000;21714000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
573;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
574;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;475;45000;21375000;500;ACOMPTE 50%;06/11/2018;31/07/2022;NON;NON;OUI;OUI
575;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
576;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;17/07/2019;31/07/2022;NON;OUI;OUI;OUI
577;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;21/10/2022;15/12/2022;NON;NON;OUI;OUI
578;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;508;39000;19812000;500;ACOMPTE 50%;21/10/2022;23/01/2024;NON;NON;OUI;OUI
579;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;500;37000;18500000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
580;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;OUI;OUI;OUI
581;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;500;45000;22500000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
582;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;466;47000;21902000;500;ACOMPTE 50%;17/07/2019;30/12/2022;NON;NON;OUI;OUI
583;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;570;39000;22230000;500;ACOMPTE 50%;27/11/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
584;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;600;37000;22200000;500;ACOMPTE 50%;27/11/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
585;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;600;37000;22200000;500;ACOMPTE 50%;10/11/2020;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
586;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;560;47000;26320000;500;ACOMPTE 50%;03/06/2020;31/07/2022;NON;NON;OUI;OUI
587;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMUNAUTAIRE;3470;12000;41640000;100;ACOMPTE 50%;27/07/2022;31/10/2022;OUI;NON DEFINI;OUI;OUI
588;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 2 VOIES;1954;50000;97700000;500;ACOMPTE 50%;22/12/2020;31/07/2022;OUI;NON;OUI;OUI
589;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;311;28000;8708000;250;ACOMPTE 30%;09/11/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
590;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;311;28000;8708000;250;ACOMPTE 30%;03/06/2020;31/07/2022;NON;NON;OUI;OUI
591;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;09/11/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
592;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON;OUI;OUI
593;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
594;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON;OUI;OUI
595;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;279;28000;7812000;250;ACOMPTE 30%;22/10/2020;30/09/2023;NON DEFINI;NON DEFINI;OUI;OUI
596;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;279;28000;7812000;250;ACOMPTE 30%;22/10/2020;30/09/2023;NON DEFINI;NON DEFINI;OUI;OUI
597;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;03/06/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
598;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
599;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;29/05/2020;31/07/2022;NON;NON DEFINI;OUI;OUI
600;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;320;26000;8320000;250;ACOMPTE 30%;03/06/2020;31/07/2022;NON;NON;OUI;OUI
601;OUAGADOUGOU;OUAGA 2000 - SITE AA;STATION SERVICE;875;60000;52500000;500;COMPTANT;07/12/2018;30/09/2023;NON;NON;OUI;OUI
602;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;35000;10500000;250;ACOMPTE 30%;17/07/2019;31/07/2022;NON;NON;OUI;OUI
603;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;570;37000;21090000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
604;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;570;37000;21090000;500;COMPTANT;22/11/2018;31/07/2022;NON;NON;OUI;OUI
605;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;570;37000;21090000;500;ACOMPTE 50%;30/04/2020;31/07/2022;NON;NON;OUI;OUI
606;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;569;37000;21053000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
607;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;569;37000;21053000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
608;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;569;37000;21053000;500;ACOMPTE 50%;30/04/2020;31/07/2022;NON;NON;OUI;OUI
609;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;569;37000;21053000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;OUI;OUI;OUI
610;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;569;37000;21053000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
611;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE;655;39000;25545000;500;ACOMPTE 50%;17/07/2019;31/07/2022;OUI;NON;OUI;OUI
612;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;17/07/2019;30/12/2022;NON;NON;OUI;OUI
613;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;ACOMPTE 30%;22/11/2019;31/07/2022;NON;NON;OUI;OUI
614;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMUNAUTAIRE;1550;12000;18600000;100;ACOMPTE 30%;14/12/2018;31/07/2022;NON;OUI;OUI;OUI
615;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;462;45000;20790000;500;ACOMPTE 50%;09/09/2019;30/12/2022;NON;NON;OUI;OUI
616;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE  A L'ANGLE;462;45000;20790000;500;ACOMPTE 50%;09/09/2019;31/07/2022;NON;NON;OUI;OUI
617;OUAGADOUGOU;OUAGA 2000 - SITE AA;COMMERCE ANGLE 1 BITUME;475;47000;22325000;500;COMPTANT;02/10/2018;31/07/2022;NON;NON;OUI;OUI
618;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;300;26000;7800000;250;COMPTANT;14/12/2018;31/07/2022;NON;NON;OUI;OUI
619;OUAGADOUGOU;OUAGA 2000 - SITE AA;HABITATION;304;28000;8512000;250;COMPTANT;28/12/2018;31/07/2022;NON;NON;OUI;OUI
