Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
1433;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;603;28000;16884000;500;ACOMPTE 30%;04/12/2023;04/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
1434;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;774;28000;21672000;500;ACOMPTE 30%;04/12/2023;04/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
1435;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1436;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1437;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1438;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1439;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;14/11/2023;14/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1440;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;15/11/2023;15/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1441;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1442;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1443;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;513;28000;14364000;500;ACOMPTE 30%;08/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1444;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;297;28000;8316000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1445;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1446;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1447;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1448;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1449;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1450;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1451;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1452;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;283;28000;7924000;500;ACOMPTE 30%;01/03/2024;01/03/2025;NON DEFINI;NON DEFINI;OUI;OUI
1453;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;392;28000;10976000;500;ACOMPTE 30%;04/01/2024;04/01/2025;NON DEFINI;NON DEFINI;OUI;OUI
1454;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1455;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1456;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1457;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1458;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1459;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1460;OUAGADOUGOU;SILMIOUGOU;HABITATION;310;26000;8060000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1461;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;297;28000;8316000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1462;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;400;28000;11200000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1463;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1464;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
